"","code","Date","Open","Close","High","Low","Volume"
"1","AAPL",2019-11-15,263.68,265.76,265.78,263.01,25093666
"2","AMD",2019-11-15,38.94,38.56,39.37,38.34,63020866
"3","CSCO",2019-11-15,45.07,45.09,45.65,44.81,32387644
"4","INTC",2019-11-15,58.17,57.96,58.7,57.62,16112991
"5","MSFT",2019-11-15,148.93,149.97,149.99,148.27,21475451
"6","AAPL",2019-11-14,263.75,262.64,264.88,262.1,22395556
"7","AMD",2019-11-14,37.51,38.35,38.5,37.36,65936947
"8","CSCO",2019-11-14,45.56,44.91,46,44.6,65609855
"9","INTC",2019-11-14,57.61,57.81,58.04,57.57,12141218
"10","MSFT",2019-11-14,147.02,148.06,148.41,147,19755100
"11","AAPL",2019-11-13,261.13,264.47,264.78,261.07,25817593
"12","AMD",2019-11-13,36.65,37.52,37.96,36.58,69178093
"13","CSCO",2019-11-13,48.24,48.46,48.85,48.15,27250239
"14","INTC",2019-11-13,57.87,57.89,57.97,57.35,15409832
"15","MSFT",2019-11-13,146.74,147.31,147.46,146.28,17444230
"16","AAPL",2019-11-12,261.55,261.96,262.79,260.92,21847226
"17","AMD",2019-11-12,36.43,36.71,37.13,36.4,58664523
"18","CSCO",2019-11-12,48.29,48.37,48.74,48.12,15641771
"19","INTC",2019-11-12,58.4,58.2,58.8,58.03,11954038
"20","MSFT",2019-11-12,146.28,147.07,147.57,146.06,18648712
"21","AAPL",2019-11-11,258.3,262.2,262.47,258.28,20507459
"22","AMD",2019-11-11,35.96,36.31,36.66,35.58,43572264
"23","CSCO",2019-11-11,48.01,48.1,48.47,47.56,19595430
"24","INTC",2019-11-11,57.97,58.35,58.5,57.9,11236365
"25","MSFT",2019-11-11,145.34,146.11,146.42,144.73,14370178
"26","AAPL",2019-11-08,258.69,260.14,260.44,256.85,17520495
"27","AMD",2019-11-08,36.06,36.29,36.58,36,39396230
"28","CSCO",2019-11-08,48.42,48.83,48.85,48.05,14414055
"29","INTC",2019-11-08,57.85,58.27,58.3,57.31,11890273
"30","MSFT",2019-11-08,143.98,145.96,145.99,143.76,16752939
"31","AAPL",2019-11-07,258.74,259.43,260.35,258.11,23735083
"32","AMD",2019-11-07,36.52,36.28,36.99,36.03,54350178
"33","CSCO",2019-11-07,48.61,48.42,48.98,48.2,16717751
"34","INTC",2019-11-07,58,58.05,58.55,57.86,16962846
"35","MSFT",2019-11-07,143.84,144.26,144.88,143.77,17786715
"36","AAPL",2019-11-06,256.77,257.24,257.49,255.37,18966124
"37","AMD",2019-11-06,36.06,35.93,36.48,35.52,51675119
"38","CSCO",2019-11-06,47.81,48.27,48.5,47.79,15904472
"39","INTC",2019-11-06,57.49,57.6,57.71,56.98,17720996
"40","MSFT",2019-11-06,144.37,144.06,144.52,143.2,16575798
"41","AAPL",2019-11-05,257.05,257.13,258.19,256.32,19974427
"42","AMD",2019-11-05,36.56,36.15,37.18,35.98,84848638
"43","CSCO",2019-11-05,47.59,47.76,47.92,47.26,18988936
"44","INTC",2019-11-05,57.47,57.55,58.35,57.21,20865354
"45","MSFT",2019-11-05,144.97,144.46,145.02,143.91,18250172
"46","AAPL",2019-11-04,257.33,257.5,257.85,255.38,25817952
"47","AMD",2019-11-04,35.19,36.29,36.45,34.76,83343783
"48","CSCO",2019-11-04,47.5,47.48,47.88,47.32,15018913
"49","INTC",2019-11-04,56.93,57.61,57.8,56.85,19067981
"50","MSFT",2019-11-04,144.83,144.55,145,144.16,16911999
"51","AAPL",2019-11-01,249.54,255.82,255.93,249.16,37781334
"52","AMD",2019-11-01,34.37,34.89,35,34.1,64238609
"53","CSCO",2019-11-01,46.85,47.03,47.49,46.64,24404134
"54","INTC",2019-11-01,55.94,56.51,56.65,55.62,17953467
"55","MSFT",2019-11-01,144.26,143.72,144.42,142.97,33128366
"56","AAPL",2019-10-31,247.24,248.76,249.17,237.26,34790520
